annotation,(Intercept),host_type_2domestic,host_type_2wild,species
K01661,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01662,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01664,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01665,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01668,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01676,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01681,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01687,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01689,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01693,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01695,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01696,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01698,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01702,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01704,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01710,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01711,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01714,-5.954226327506679,-2.252290735621108,-2.2539996511863465,akkermansia_muciniphila
K01726,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01735,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01736,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01737,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01738,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01740,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01749,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
K01752,0.08917996306174304,0.0014638079636352867,0.0011671537094258087,akkermansia_muciniphila
